long,lat,order,hole,piece,group,id,absentee_alias,dist.n
-122.33301246,37.99066651,1,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33336323,37.99022997,2,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33349323,37.99001497,3,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33361323,37.98977497,4,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33373323000001,37.98953497,5,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33413323,37.98866497,6,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33461323,37.98764497,7,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33543323,37.98594497,8,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33496323,37.98570497,9,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33459323,37.98545497,10,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33416323,37.98505497,11,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33393323,37.98474497,12,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33372823,37.98432997,13,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33364323,37.98412497,14,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33356323,37.98366997,15,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33357323,37.98324497,16,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33362323,37.98257497,17,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33299269,37.98238487,18,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33252323,37.98217497,19,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33220323,37.98199497,20,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33252323,37.98130497,21,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33259323,37.98097497,22,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33256322,37.98044997,23,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33237823,37.97973997,24,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33215323,37.97934497,25,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33195707,37.97912805,26,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33298823,37.97845497,27,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33352323,37.97802497,28,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33414323,37.97760497,29,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33475823,37.97725997,30,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33572323,37.97684497,31,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33649323,37.97655497,32,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33769323,37.97612497,33,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33689061,37.9762284,34,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33611861,37.97480207,35,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33659323,37.97443497,36,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33737566,37.97400507,37,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33790696,37.97364695,38,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33792072,37.97208831,39,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.3379314,37.97087836,40,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34249323,37.96858497,41,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34280323,37.96875497,42,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34307823,37.96892497,43,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34344323,37.96913497,44,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34370057,37.96930385,45,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34367323,37.96957497,46,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34360323,37.96992997,47,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34354323,37.97028497,48,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34440323,37.97048497,49,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
