school,dist.n,schoolyr,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
ACORN Woodland Elementary,1,2011-12,13,7,305,0.04262295081967213,0.022950819672131147
ACORN Woodland Elementary,1,2012-13,13,7,331,0.03927492447129909,0.021148036253776436
ACORN Woodland Elementary,1,2013-14,10,5,269,0.03717472118959108,0.01858736059479554
ACORN Woodland Elementary,1,2014-15,19,15,344,0.055232558139534885,0.0436046511627907
ACORN Woodland Elementary,1,2015-16,12,10,183,0.06557377049180328,0.0546448087431694
ACORN Woodland Elementary,1,2016-17,8,5,206,0.038834951456310676,0.024271844660194174
Allendale Elementary,1,2011-12,44,12,561,0.0784313725490196,0.0213903743315508
Allendale Elementary,1,2012-13,28,12,578,0.04844290657439446,0.020761245674740483
Allendale Elementary,1,2013-14,14,12,374,0.0374331550802139,0.03208556149732621
Allendale Elementary,1,2014-15,27,11,492,0.054878048780487805,0.022357723577235773
Allendale Elementary,1,2015-16,15,11,238,0.06302521008403361,0.046218487394957986
Allendale Elementary,1,2016-17,13,6,240,0.05416666666666667,0.025
ASCEND K-8,1,2011-12,8,7,384,0.020833333333333332,0.018229166666666668
Bayview Elementary,0,2011-12,59,29,834,0.07074340527577938,0.03477218225419664
Bayview Elementary,0,2012-13,56,29,862,0.06496519721577726,0.033642691415313224
Bayview Elementary,0,2013-14,29,18,668,0.04341317365269461,0.02694610778443114
Bayview Elementary,0,2014-15,64,26,872,0.07339449541284404,0.02981651376146789
Bayview Elementary,0,2015-16,20,4,359,0.055710306406685235,0.011142061281337047
Bayview Elementary,0,2016-17,33,8,380,0.0868421052631579,0.021052631578947368
Bella Vista Elementary,1,2011-12,29,9,734,0.039509536784741145,0.01226158038147139
Bella Vista Elementary,1,2012-13,40,18,635,0.06299212598425197,0.028346456692913385
Bella Vista Elementary,1,2013-14,24,9,477,0.050314465408805034,0.018867924528301886
Bella Vista Elementary,1,2014-15,43,26,597,0.07202680067001675,0.04355108877721943
