school,dist.n,schoolyr,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
ACORN Woodland Elementary,1,2011-12,49,29,1127,0.043478260869565216,0.025732031943212066
ACORN Woodland Elementary,1,2012-13,42,28,1056,0.03977272727272727,0.026515151515151516
ACORN Woodland Elementary,1,2013-14,24,13,281,0.08540925266903915,0.046263345195729534
ACORN Woodland Elementary,1,2014-15,100,67,1534,0.0651890482398957,0.043676662320730114
ACORN Woodland Elementary,1,2015-16,40,30,888,0.04504504504504504,0.033783783783783786
ACORN Woodland Elementary,1,2016-17,76,45,1513,0.05023132848645076,0.029742233972240583
ACORN Woodland Elementary,1,2017-18,81,51,1475,0.05491525423728814,0.03457627118644068
Allendale Elementary,1,2011-12,108,40,2032,0.0531496062992126,0.01968503937007874
Allendale Elementary,1,2012-13,109,37,1712,0.06366822429906542,0.02161214953271028
Allendale Elementary,1,2013-14,21,17,386,0.054404145077720206,0.04404145077720207
Allendale Elementary,1,2014-15,181,46,1951,0.09277293695540749,0.023577652485904665
Allendale Elementary,1,2015-16,44,35,1098,0.04007285974499089,0.031876138433515486
Allendale Elementary,1,2016-17,128,75,1851,0.06915180983252296,0.04051863857374392
Allendale Elementary,1,2017-18,125,83,1719,0.07271669575334497,0.048283885980221056
Bayview Elementary,0,2011-12,249,125,2825,0.08814159292035398,0.04424778761061947
Bayview Elementary,0,2012-13,125,56,2384,0.05243288590604027,0.02348993288590604
Bayview Elementary,0,2013-14,48,30,616,0.07792207792207792,0.048701298701298704
Bayview Elementary,0,2014-15,264,117,2975,0.08873949579831933,0.03932773109243697
Bayview Elementary,0,2015-16,76,26,1596,0.047619047619047616,0.016290726817042606
Bayview Elementary,0,2016-17,214,80,2500,0.0856,0.032
Bayview Elementary,0,2017-18,244,118,2095,0.11646778042959427,0.05632458233890215
Bella Vista Elementary,1,2011-12,114,75,2845,0.04007029876977153,0.026362038664323375
Bella Vista Elementary,1,2012-13,118,76,2113,0.055844770468528156,0.035967818267865596
Bella Vista Elementary,1,2013-14,35,11,495,0.0707070707070707,0.022222222222222223
Bella Vista Elementary,1,2014-15,151,82,2454,0.061532192339038304,0.03341483292583537
Bella Vista Elementary,1,2015-16,72,34,1371,0.0525164113785558,0.024799416484318017
Bella Vista Elementary,1,2016-17,188,110,2151,0.08740120874012088,0.05113900511390051
