school,dist.n,schoolyr,did_absence_rate_all,did_absence_rate_ill
ACORN Woodland Elementary,1,2014-15,0.00862006256305358,0.008383535881854788
ACORN Woodland Elementary,1,2015-16,0.0025333161415720187,0.006446151247716941
ACORN Woodland Elementary,1,2016-17,0.007714827006337292,0.007375436371033675
Allendale Elementary,1,2014-15,0.012436031657123078,0.007110282348368677
Allendale Elementary,1,2015-16,0.007505734752984661,0.019107765622723635
Allendale Elementary,1,2016-17,0.017557321225087102,0.017548689359137316
Bayview Elementary,0,2014-15,0.012269540765475637,0.0016623307680208345
Bayview Elementary,0,2015-16,0.00482117499470866,-0.0012027922498019789
Bayview Elementary,0,2016-17,0.015137370312548706,0.0046561662259328104
Bella Vista Elementary,1,2014-15,0.011095461713932442,0.00841609935489309
Bella Vista Elementary,1,2015-16,0.0066404777208925875,0.0108502003135263
Bella Vista Elementary,1,2016-17,0.01048327824164258,0.006592227406369493
Bridges Academy,1,2014-15,0.013996060318477777,-0.0024483423005859928
Bridges Academy,1,2015-16,0.01860653507522516,-0.004188860749045495
Bridges Academy,1,2016-17,0.009110180235632065,-0.022689179681362602
Brookfield Village Elementary,1,2014-15,0.016569837638982288,0.016661567251093443
Brookfield Village Elementary,1,2015-16,0.01023793707355701,0.015200199766661229
Brookfield Village Elementary,1,2016-17,0.013498206147855268,0.00504000151720117
Burckhalter Elementary,1,2014-15,0.004963514887863764,0.0015773521717015772
Burckhalter Elementary,1,2015-16,0.006782852867511187,0.00407107268774818
Burckhalter Elementary,1,2016-17,0.00424598356608067,0.006615259482246016
Carl Munck Elementary,1,2014-15,0.009831817652204734,0.008858624212547447
Carl Munck Elementary,1,2015-16,0.024918993716855513,0.01675175890016939
Carl Munck Elementary,1,2016-17,0.006569995662624277,0.004040507647563363
Chabot Elementary,1,2014-15,0.002767257352793942,0.00418465265917153
Chabot Elementary,1,2015-16,0.0038770936348740404,0.0020266351547018543
Chabot Elementary,1,2016-17,0.001368146411361626,0.0038789748141366716
Chavez Elementary,0,2014-15,-0.00347915206929731,-0.0015940898275371498
Chavez Elementary,0,2015-16,0.0036356498987497946,0.004768618705489697
Chavez Elementary,0,2016-17,0.016552681817483365,0.011217251373634558
Cleveland Elementary,1,2014-15,9.77067826620083e-4,0.0027585331211623827
Cleveland Elementary,1,2015-16,0.00907752410751226,0.00876275831264238
Cleveland Elementary,1,2016-17,0.005040478942195593,0.006692271976896567
Collins Elementary,0,2014-15,-0.0032031905855836457,0.030339480855074236
Collins Elementary,0,2015-16,-0.005041161362224947,0.03275786028475395
Collins Elementary,0,2016-17,-0.0015059628911944928,0.031835767285155775
Community United Elementary School,1,2014-15,0.0012850504308482003,0.008257169464961939
Community United Elementary School,1,2015-16,-0.006764145854213435,0.003932159805594807
