school,dist.n,schoolyr,did_absence_rate_all,did_absence_rate_ill
ACORN Woodland Elementary,1,2014-15,0.01851697031781778,0.015267571411639206
ACORN Woodland Elementary,1,2015-16,-0.0016270328770328774,0.0053746928746928775
ACORN Woodland Elementary,1,2016-17,0.00355925056437284,0.001333143063149675
Allendale Elementary,1,2014-15,0.03514581831133969,8.173619290039388e-4
Allendale Elementary,1,2015-16,-0.017554258899076906,0.00911584787661476
Allendale Elementary,1,2016-17,0.011524691188455165,0.017758348016843197
Bayview Elementary,0,2014-15,0.016293143866988852,0.003104555126771734
Bayview Elementary,0,2015-16,-0.02482730431228286,-0.019932449148622633
Bayview Elementary,0,2016-17,0.013153648068669518,-0.004223175965665238
Bella Vista Elementary,1,2014-15,0.012568319241660714,0.0037064155409096446
Bella Vista Elementary,1,2015-16,0.0035525382811782066,-0.00490900090060771
Bella Vista Elementary,1,2016-17,0.038437335642743285,0.02143058772897478
Bridges Academy,1,2014-15,0.022228677884710314,0.0032135706472160887
Bridges Academy,1,2015-16,0.013431761944916978,0.0042032148290157105
Bridges Academy,1,2016-17,0.02159414734120619,-0.027790328523523655
Brookfield Village Elementary,1,2014-15,0.01161353922303425,0.02528074433438046
Brookfield Village Elementary,1,2015-16,-0.00467058422293249,0.006116277174651179
Brookfield Village Elementary,1,2016-17,0.02554099508889668,0.00933184289898982
Burckhalter Elementary,1,2014-15,-0.009534757111493777,-0.0027996236396882618
Burckhalter Elementary,1,2015-16,-0.016378790271316418,-0.011648669330839218
Burckhalter Elementary,1,2016-17,0.011342246424469293,0.02396782856128995
Carl Munck Elementary,1,2014-15,0.0300623914330512,0.008795739079330588
Carl Munck Elementary,1,2015-16,0.023004265691651427,0.01247100078043982
Carl Munck Elementary,1,2016-17,-0.011502776561869696,-0.01877848443494606
Chabot Elementary,1,2014-15,0.004965073254499547,1.4998217349473583e-4
Chabot Elementary,1,2015-16,0.004194330218184772,8.2982881710374e-4
Chabot Elementary,1,2016-17,-8.668165939029263e-4,3.8717933568573754e-5
Chavez Elementary,0,2014-15,-0.011896321804155903,-0.0010744248071437035
Chavez Elementary,0,2015-16,-0.005389278711746957,-0.002069094094495915
Chavez Elementary,0,2016-17,0.03647004051569479,0.03095943280810926
Cleveland Elementary,1,2014-15,-1.4607993735128721e-4,0.0015803193222548098
Cleveland Elementary,1,2015-16,0.010307136436917719,0.011327461799660439
Cleveland Elementary,1,2016-17,0.004250815728604883,-0.00520444916935087
Collins Elementary,0,2014-15,-0.011475105214986493,0.03511600829463754
Collins Elementary,0,2015-16,-0.023727574257950343,0.023074097230317097
Collins Elementary,0,2016-17,-0.009281202635950683,0.030429698789465904
