school,dist.n,schoolyr,vaccination_coverage
Think College Now,1,2014-15,0.43150684931506844
East Oakland PRIDE Elementary,1,2014-15,0.4659090909090902
Burckhalter Elementary,1,2014-15,0.5124999999999996
Garfield Elementary,1,2014-15,0.5418502202643183
EnCompass Academy,1,2014-15,0.5438596491228068
RISE Community School,1,2014-15,0.5789473684210523
Franklin Elementary,1,2014-15,0.5791245791245778
Kaiser Elementary,1,2014-15,0.585365853658537
Community United Elementary School,1,2014-15,0.5863874345549744
Grass Valley Elementary,1,2014-15,0.5901639344262298
Horace Mann Elementary,1,2014-15,0.5925925925925924
Fruitvale Elementary,1,2014-15,0.597826086956521
Laurel Elementary,1,2014-15,0.6162790697674413
Allendale Elementary,1,2014-15,0.6260162601626
Markham Elementary,1,2014-15,0.6439393939393936
Brookfield Village Elementary,1,2014-15,0.6530612244897953
Carl Munck Elementary,1,2014-15,0.6538461538461543
Bella Vista Elementary,1,2014-15,0.6577181208053692
Joaquin Miller Elementary,1,2014-15,0.7177914110429449
Reach Academy,1,2014-15,0.7499999999999992
Emerson Elementary,1,2014-15,0.7500000000000002
Verde Elementary,0,2014-15,0.4705882352941178
Grant Elementary,0,2014-15,0.5298013245033109
Riverside Elementary,0,2014-15,0.5540540540540541
Ford Elementary,0,2014-15,0.576388888888888
Lake Elementary,0,2014-15,0.5776699029126209
Wilson Elementary,0,2014-15,0.5950413223140494
Coronado Elementary,0,2014-15,0.6035502958579874
Nystrom Elementary,0,2014-15,0.6036036036036035
Sheldon Elementary,0,2014-15,0.6101694915254247
Murphy Elementary,0,2014-15,0.6268656716417921
Washington Elementary,0,2014-15,0.6335078534031416
Montalvin Elementary,0,2014-15,0.6404494382022496
Fairmont Elementary,0,2014-15,0.6621160409556293
King Elementary,0,2014-15,0.6708860759493664
Shannon Elementary,0,2014-15,0.6725663716814143
Dover Elementary,0,2014-15,0.6795774647887339
Collins Elementary,0,2014-15,0.6811594202898558
Tara Hills Elementary,0,2014-15,0.6919831223628703
Lupine Hills Elementary,0,2014-15,0.6938775510204069
Highland Elementary,0,2014-15,0.7028985507246357
Olinda Elementary,0,2014-15,0.7358490566037729
Ohlone Elementary,0,2014-15,0.7465437788018423
Grass Valley Elementary,1,2015-16,0.5573770491803282
Think College Now,1,2015-16,0.5684931506849307
Burckhalter Elementary,1,2015-16,0.5749999999999995
Kaiser Elementary,1,2015-16,0.585365853658537
EnCompass Academy,1,2015-16,0.6140350877192978
East Oakland PRIDE Elementary,1,2015-16,0.624999999999999
