school,dist.n,program,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
ACORN Woodland Elementary,1,0,3078,1790,82803,0.037172566211369155,0.021617574242479138
ACORN Woodland Elementary,1,1,3940,2627,88610,0.04446450739194222,0.02964676673061731
Allendale Elementary,1,0,6889,2595,133937,0.05143462971397,0.01937478068046917
Allendale Elementary,1,1,6968,3757,109847,0.06343368503463909,0.034202117490691596
Bayview Elementary,0,0,12130,5185,192482,0.06301887968745129,0.026937583774067186
Bayview Elementary,0,1,11742,4549,155353,0.07558270519397758,0.0292817003855735
Bella Vista Elementary,1,0,8225,3850,175610,0.046836740504527075,0.021923580661693524
Bella Vista Elementary,1,1,7656,4317,134892,0.05675651632417045,0.03200338048216351
Bridges Academy,1,0,4669,3424,126095,0.03702763789206551,0.02715412982275268
Bridges Academy,1,1,6478,2049,125165,0.05175568249910119,0.016370391083769427
Brookfield Village Elementary,1,0,6769,2870,120978,0.05595232190976872,0.023723321595662022
Brookfield Village Elementary,1,1,6727,3573,98794,0.0680911796262931,0.0361661639370812
Burckhalter Elementary,1,0,5196,2265,83707,0.062073661700933015,0.027058668928524494
Burckhalter Elementary,1,1,5124,2348,75538,0.06783340835076386,0.03108369297572083
Carl Munck Elementary,1,0,5578,3762,104935,0.0531567160623243,0.03585076475913661
Carl Munck Elementary,1,1,4640,3093,70833,0.06550619061736761,0.04366608784041336
Chabot Elementary,1,0,6038,3605,188437,0.03204253941635666,0.0191310623709781
Chabot Elementary,1,1,5903,3821,166138,0.03553070339115675,0.022998952677894282
Chavez Elementary,0,0,11808,4535,198263,0.05955725475756949,0.02287365771727453
Chavez Elementary,0,1,9412,4024,146213,0.06437184108116241,0.027521492616935567
Cleveland Elementary,1,0,4094,2932,120635,0.033937082936129646,0.024304720852157336
Cleveland Elementary,1,1,4479,3505,118786,0.03770646372468136,0.02950684424090381
Collins Elementary,0,0,5702,27,100944,0.056486764938976065,2.67475035663338e-4
Collins Elementary,0,1,4883,2925,88021,0.055475397916406315,0.03323070630872178
Community United Elementary School,1,0,7843,3360,124657,0.06291664326913049,0.026953961670824745
Community United Elementary School,1,1,7100,3931,117490,0.060430674951059665,0.03345816665248106
Coronado Elementary,0,0,7561,2992,136409,0.055428893987933346,0.021934036610487578
Coronado Elementary,0,1,7096,3145,110724,0.06408728008381201,0.028403959394530543
Crocker Highlands Elementary,1,0,2935,2472,134853,0.02176443979740903,0.018331071611310094
Crocker Highlands Elementary,1,1,3794,2683,129958,0.029194047307591686,0.02064513150402438
Dover Elementary,0,0,10101,4504,217882,0.04635995630662469,0.02067173974903847
Dover Elementary,0,1,10334,4580,186682,0.0553561671719823,0.0245336990175807
Downer Elementary,0,0,11016,5531,188649,0.058394160583941604,0.02931899983567366
Downer Elementary,0,1,11149,4836,159017,0.07011200060370903,0.0304118427589503
East Oakland PRIDE Elementary,1,0,7488,4102,150702,0.049687462674682485,0.02721928043423445
East Oakland PRIDE Elementary,1,1,6895,4096,117096,0.058883309421329515,0.0349798455967753
Ellerhorst Elementary,0,0,5335,2321,118551,0.0450017292135874,0.019578071884674107
Ellerhorst Elementary,0,1,5119,3440,91224,0.05611461895992283,0.03770937472594931
Emerson Elementary,1,0,5920,3797,100253,0.0590506019769982,0.03787417832882806
Emerson Elementary,1,1,6165,4086,90152,0.06838450616736179,0.045323453722601825
EnCompass Academy,1,0,4019,2306,93572,0.042950882742700806,0.024644124310691233
EnCompass Academy,1,1,5415,3078,92443,0.05857663641379012,0.03329619332994386
Esperanza Elementary,1,0,3797,2160,106863,0.03553147487905075,0.020212795822688864
Esperanza Elementary,1,1,4744,2733,98057,0.04838002386367113,0.027871544101899917
Fairmont Elementary,0,0,7793,3673,165919,0.04696870159535677,0.02213730796352437
Fairmont Elementary,0,1,7304,3543,139250,0.0524524236983842,0.025443447037701974
Ford Elementary,0,0,7138,3196,129021,0.0553243270475349,0.024771161283822014
Ford Elementary,0,1,8007,3956,121645,0.06582268075136669,0.03252085987915656
Franklin Elementary,1,0,8315,2934,255058,0.03260042813791373,0.01150326592382909
Franklin Elementary,1,1,9358,4208,211944,0.04415317253614162,0.019854301136149173
Fred T. Korematsu Discovery Academy,1,0,6304,5620,128798,0.048944859392226585,0.04363421792263855
Fred T. Korematsu Discovery Academy,1,1,6530,4597,117330,0.05565499019858519,0.039180090343475665
