school,dist.n,program,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
ACORN Woodland Elementary,1,0,115,70,2464,0.04667207792207792,0.028409090909090908
ACORN Woodland Elementary,1,1,297,193,5410,0.05489833641404806,0.03567467652495379
Allendale Elementary,1,0,238,94,4130,0.0576271186440678,0.022760290556900726
Allendale Elementary,1,1,478,239,6619,0.07221634688019338,0.03610817344009669
Bayview Elementary,0,0,422,211,5825,0.07244635193133048,0.03622317596566524
Bayview Elementary,0,1,798,341,9166,0.08706087715470216,0.0372027056513201
Bella Vista Elementary,1,0,267,162,5453,0.04896387309737759,0.029708417384925728
Bella Vista Elementary,1,1,541,307,8099,0.06679837016915668,0.03790591431040869
Bridges Academy,1,0,152,113,3866,0.03931712364200724,0.029229177444386963
Bridges Academy,1,1,473,126,7647,0.06185432195632274,0.016477049823460183
Brookfield Village Elementary,1,0,231,98,3702,0.06239870340356564,0.026472177201512695
Brookfield Village Elementary,1,1,449,224,5880,0.07636054421768708,0.0380952380952381
Burckhalter Elementary,1,0,205,94,2476,0.08279483037156704,0.03796445880452343
Burckhalter Elementary,1,1,332,177,4580,0.07248908296943231,0.038646288209606985
Carl Munck Elementary,1,0,198,151,3282,0.0603290676416819,0.04600853138330287
Carl Munck Elementary,1,1,303,184,4204,0.07207421503330162,0.04376784015223597
Chabot Elementary,1,0,217,148,5723,0.037917176306133143,0.025860562641970994
Chabot Elementary,1,1,442,272,10141,0.043585445222364655,0.0268218124445321
Chavez Elementary,0,0,395,169,6076,0.06500987491770902,0.027814351547070442
Chavez Elementary,0,1,751,399,8716,0.08616337769619091,0.04577787976135842
Cleveland Elementary,1,0,144,119,3689,0.03903496882624018,0.03225806451612903
Cleveland Elementary,1,1,319,236,7299,0.04370461707083162,0.03233319632826415
Collins Elementary,0,0,185,3,3094,0.05979314802844215,9.696186166774402e-4
Collins Elementary,0,1,308,221,5235,0.05883476599808978,0.04221585482330468
