school,dist.n,period,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
ACORN Woodland Elementary,1,0,3078,1790,82803,0.037172566211369155,0.021617574242479138
ACORN Woodland Elementary,1,1,2298,1539,52352,0.043895171149144256,0.02939715770171149
ACORN Woodland Elementary,1,2,867,560,19315,0.04488739321770645,0.028993010613512813
Allendale Elementary,1,0,6889,2595,133937,0.051434629713970004,0.019374780680469175
Allendale Elementary,1,1,4146,2002,66467,0.06237681857162201,0.030120210029036965
Allendale Elementary,1,2,1620,867,23481,0.0689919509390571,0.03692347003960649
Bayview Elementary,0,0,12130,5185,192482,0.06301887968745129,0.026937583774067186
Bayview Elementary,0,1,7271,2761,99470,0.07309741630642405,0.027757112697295666
Bayview Elementary,0,2,2501,1011,32000,0.07815625,0.03159375
Bella Vista Elementary,1,0,8225,3850,175610,0.046836740504527075,0.021923580661693524
Bella Vista Elementary,1,1,4691,2576,82898,0.056587613693937125,0.03107433231199788
Bella Vista Elementary,1,2,1590,791,27739,0.057320018746169654,0.028515808068063017
Bridges Academy,1,0,4669,3424,126095,0.03702763789206551,0.027154129822752688
Bridges Academy,1,1,3908,1794,74357,0.05255725755476956,0.02412684750595102
Bridges Academy,1,2,1240,120,26876,0.04613781812769757,0.004464950141390088
Brookfield Village Elementary,1,0,6769,2870,120978,0.05595232190976872,0.023723321595662022
Brookfield Village Elementary,1,1,4366,2472,61925,0.07050464271295923,0.03991925716592652
Brookfield Village Elementary,1,2,1427,591,20547,0.06945052805762399,0.02876332311286319
Burckhalter Elementary,1,0,5196,2265,83707,0.062073661700933015,0.027058668928524498
Burckhalter Elementary,1,1,3137,1365,46400,0.06760775862068966,0.029418103448275862
Burckhalter Elementary,1,2,1032,524,15561,0.06631964526701369,0.033673928410770514
Carl Munck Elementary,1,0,5578,3762,104935,0.0531567160623243,0.03585076475913661
Carl Munck Elementary,1,1,3061,2137,45559,0.06718760288856208,0.04690620953049891
Carl Munck Elementary,1,2,813,543,13612,0.059726711724948575,0.03989127240669997
Chabot Elementary,1,0,6038,3605,188437,0.03204253941635666,0.0191310623709781
Chabot Elementary,1,1,3450,2221,98123,0.03515995230476035,0.02263485625184717
Chabot Elementary,1,2,1195,823,35767,0.033410685827718285,0.02301003718511477
Chavez Elementary,0,0,11808,4535,198263,0.05955725475756949,0.02287365771727453
Chavez Elementary,0,1,5323,2119,91488,0.05818249387897866,0.023161507520111927
Chavez Elementary,0,2,2304,1032,30272,0.07610993657505286,0.03409090909090909
Cleveland Elementary,1,0,4094,2932,120635,0.033937082936129646,0.024304720852157333
Cleveland Elementary,1,1,2601,2010,69319,0.03752218006607135,0.028996379059132417
Cleveland Elementary,1,2,1011,804,25938,0.03897756187832524,0.0309969928290539
Collins Elementary,0,0,5702,27,100944,0.056486764938976065,2.674750356633381e-4
Collins Elementary,0,1,2919,1735,55361,0.05272664872383086,0.031339751810841567
Collins Elementary,0,2,1031,602,18752,0.05498080204778157,0.03210324232081911
Community United Elementary School,1,0,7843,3360,124657,0.06291664326913049,0.02695396167082474
Community United Elementary School,1,1,4562,2504,73846,0.06177721203585841,0.03390840397584162
Community United Elementary School,1,2,1322,820,23889,0.0553392774917326,0.03432542174222446
Coronado Elementary,0,0,7561,2992,136409,0.055428893987933346,0.021934036610487578
Coronado Elementary,0,1,4028,1794,66220,0.060827544548474784,0.027091513138024766
Coronado Elementary,0,2,1528,642,24896,0.06137532133676093,0.025787275064267354
Crocker Highlands Elementary,1,0,2935,2472,134853,0.02176443979740903,0.018331071611310094
Crocker Highlands Elementary,1,1,2238,1523,73819,0.03031739795987483,0.02063154472425798
Crocker Highlands Elementary,1,2,860,665,29260,0.02939166097060834,0.022727272727272728
Dover Elementary,0,0,10101,4504,217882,0.046359956306624685,0.02067173974903847
Dover Elementary,0,1,5983,2512,114434,0.05228341227257633,0.02195151790551759
Dover Elementary,0,2,2344,917,39872,0.05878812199036918,0.022998595505617978
Downer Elementary,0,0,11016,5531,188649,0.058394160583941604,0.029318999835673657
Downer Elementary,0,1,6416,2723,96426,0.06653807064484682,0.028239271565760272
Downer Elementary,0,2,2437,1041,33920,0.07184551886792453,0.030689858490566036
East Oakland PRIDE Elementary,1,0,7488,4102,150702,0.049687462674682485,0.02721928043423445
East Oakland PRIDE Elementary,1,1,4082,2469,74821,0.054556875743441015,0.032998757033453174
East Oakland PRIDE Elementary,1,2,1603,969,22820,0.07024539877300613,0.04246275197195443
Ellerhorst Elementary,0,0,5335,2321,118551,0.0450017292135874,0.019578071884674107
Ellerhorst Elementary,0,1,2986,1819,54291,0.05499990790370411,0.03350463244368312
Ellerhorst Elementary,0,2,1140,853,19776,0.05764563106796117,0.04313309061488673
Emerson Elementary,1,0,5920,3797,100253,0.05905060197699819,0.03787417832882806
Emerson Elementary,1,1,3660,2379,54142,0.06760001477595952,0.043940009604373685
Emerson Elementary,1,2,1359,955,19184,0.07084028356964137,0.04978106755629692
EnCompass Academy,1,0,4019,2306,93572,0.042950882742700806,0.024644124310691233
EnCompass Academy,1,1,3071,1748,55852,0.054984602162858984,0.031296999212203684
EnCompass Academy,1,2,1074,643,19166,0.05603673171240739,0.03354899300845247
Esperanza Elementary,1,0,3797,2160,106863,0.03553147487905075,0.020212795822688864
Esperanza Elementary,1,1,2761,1607,58334,0.04733088764699832,0.02754825659135324
Esperanza Elementary,1,2,1006,619,20448,0.04919796557120501,0.03027190923317684
Fairmont Elementary,0,0,7793,3673,165919,0.04696870159535677,0.02213730796352437
Fairmont Elementary,0,1,4446,2117,84197,0.052804731760038956,0.02514341366081927
Fairmont Elementary,0,2,1547,742,30144,0.05132032908704883,0.024615180467091297
Ford Elementary,0,0,7138,3196,129021,0.0553243270475349,0.024771161283822014
Ford Elementary,0,1,4639,2158,73383,0.06321627624926754,0.029407355927122087
Ford Elementary,0,2,1884,970,26944,0.06992280285035629,0.03600059382422803
Franklin Elementary,1,0,8315,2934,255058,0.03260042813791373,0.01150326592382909
Franklin Elementary,1,1,5571,2547,128890,0.04322290325083405,0.019761036542788425
Franklin Elementary,1,2,1970,892,44553,0.04421699997755482,0.020021098466994368
Fred T. Korematsu Discovery Academy,1,0,6304,5620,128798,0.048944859392226585,0.04363421792263855
Fred T. Korematsu Discovery Academy,1,1,3456,3111,74258,0.046540440087263324,0.041894476016052146
