school,dist.n,period,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
ACORN Woodland Elementary,1,0,3078,1790,82803,0.037172566211369155,0.021617574242479138
ACORN Woodland Elementary,1,1,2298,1539,52352,0.043895171149144256,0.02939715770171149
ACORN Woodland Elementary,1,2,1642,1088,36258,0.04528655744939048,0.030007170831264824
Allendale Elementary,1,0,6889,2595,133937,0.05143462971397,0.01937478068046917
Allendale Elementary,1,1,4146,2002,66467,0.06237681857162201,0.030120210029036965
Allendale Elementary,1,2,2822,1755,43380,0.06505301982480406,0.04045643153526971
Bayview Elementary,0,0,12130,5185,192482,0.06301887968745129,0.026937583774067186
Bayview Elementary,0,1,7271,2761,99470,0.07309741630642405,0.027757112697295666
Bayview Elementary,0,2,4471,1788,55883,0.08000644203067123,0.03199541900041157
Bella Vista Elementary,1,0,8225,3850,175610,0.046836740504527075,0.021923580661693524
Bella Vista Elementary,1,1,4691,2576,82898,0.056587613693937125,0.031074332311997875
Bella Vista Elementary,1,2,2965,1741,51994,0.057025810670461974,0.033484632842251026
Bridges Academy,1,0,4669,3424,126095,0.03702763789206551,0.02715412982275268
Bridges Academy,1,1,3908,1794,74357,0.05255725755476956,0.02412684750595102
Bridges Academy,1,2,2570,255,50808,0.05058258541961896,0.005018894662257912
Brookfield Village Elementary,1,0,6769,2870,120978,0.05595232190976872,0.023723321595662022
Brookfield Village Elementary,1,1,4366,2472,61925,0.07050464271295923,0.03991925716592652
Brookfield Village Elementary,1,2,2361,1101,36869,0.06403753831131845,0.02986248609943313
Burckhalter Elementary,1,0,5196,2265,83707,0.062073661700933015,0.027058668928524494
Burckhalter Elementary,1,1,3137,1365,46400,0.06760775862068966,0.029418103448275862
Burckhalter Elementary,1,2,1987,983,29138,0.06819273800535383,0.03373601482600041
Carl Munck Elementary,1,0,5578,3762,104935,0.0531567160623243,0.03585076475913661
Carl Munck Elementary,1,1,3061,2137,45559,0.06718760288856208,0.04690620953049891
Carl Munck Elementary,1,2,1579,956,25274,0.0624752710295165,0.03782543325156287
Chabot Elementary,1,0,6038,3605,188437,0.03204253941635666,0.0191310623709781
Chabot Elementary,1,1,3450,2221,98123,0.03515995230476035,0.02263485625184717
Chabot Elementary,1,2,2453,1600,68015,0.036065573770491806,0.02352422259795633
Chavez Elementary,0,0,11808,4535,198263,0.05955725475756949,0.02287365771727453
Chavez Elementary,0,1,5323,2119,91488,0.05818249387897866,0.023161507520111927
Chavez Elementary,0,2,4089,1905,54725,0.07471904979442669,0.03481041571493833
Cleveland Elementary,1,0,4094,2932,120635,0.033937082936129646,0.024304720852157336
Cleveland Elementary,1,1,2601,2010,69319,0.03752218006607135,0.028996379059132417
Cleveland Elementary,1,2,1878,1495,49467,0.03796470374188853,0.030222168314229688
Collins Elementary,0,0,5702,27,100944,0.056486764938976065,2.67475035663338e-4
Collins Elementary,0,1,2919,1735,55361,0.05272664872383086,0.031339751810841567
Collins Elementary,0,2,1964,1190,32660,0.06013472137170851,0.03643600734843846
Community United Elementary School,1,0,7843,3360,124657,0.06291664326913049,0.026953961670824745
Community United Elementary School,1,1,4562,2504,73846,0.061777212035858405,0.03390840397584161
Community United Elementary School,1,2,2538,1427,43644,0.0581523233434149,0.03269636147007607
Coronado Elementary,0,0,7561,2992,136409,0.055428893987933346,0.021934036610487578
Coronado Elementary,0,1,4028,1794,66220,0.060827544548474784,0.027091513138024766
Coronado Elementary,0,2,3068,1351,44504,0.06893762358439691,0.03035682185870933
Crocker Highlands Elementary,1,0,2935,2472,134853,0.02176443979740903,0.018331071611310094
Crocker Highlands Elementary,1,1,2238,1523,73819,0.03031739795987483,0.02063154472425798
Crocker Highlands Elementary,1,2,1556,1160,56139,0.027716916938313827,0.02066299720337021
Dover Elementary,0,0,10101,4504,217882,0.04635995630662469,0.02067173974903847
Dover Elementary,0,1,5983,2512,114434,0.05228341227257633,0.02195151790551759
Dover Elementary,0,2,4351,2068,72248,0.060223120363193446,0.028623629719853837
Downer Elementary,0,0,11016,5531,188649,0.058394160583941604,0.02931899983567366
Downer Elementary,0,1,6416,2723,96426,0.06653807064484682,0.028239271565760272
Downer Elementary,0,2,4733,2113,62591,0.07561790033710918,0.03375884711859532
East Oakland PRIDE Elementary,1,0,7488,4102,150702,0.049687462674682485,0.02721928043423445
East Oakland PRIDE Elementary,1,1,4082,2469,74821,0.054556875743441015,0.032998757033453174
East Oakland PRIDE Elementary,1,2,2813,1627,42275,0.06654050857480781,0.03848610289769367
Ellerhorst Elementary,0,0,5335,2321,118551,0.0450017292135874,0.019578071884674107
Ellerhorst Elementary,0,1,2986,1819,54291,0.05499990790370411,0.03350463244368312
Ellerhorst Elementary,0,2,2133,1621,36933,0.05775322881975469,0.043890287818482115
Emerson Elementary,1,0,5920,3797,100253,0.0590506019769982,0.03787417832882806
Emerson Elementary,1,1,3660,2379,54142,0.06760001477595952,0.043940009604373685
Emerson Elementary,1,2,2505,1707,36010,0.069564009997223,0.04740349902804777
EnCompass Academy,1,0,4019,2306,93572,0.042950882742700806,0.024644124310691233
EnCompass Academy,1,1,3071,1748,55852,0.054984602162858984,0.031296999212203684
EnCompass Academy,1,2,2344,1330,36591,0.06405946817523435,0.036347735782022904
Esperanza Elementary,1,0,3797,2160,106863,0.03553147487905075,0.020212795822688864
Esperanza Elementary,1,1,2761,1607,58334,0.04733088764699832,0.02754825659135324
Esperanza Elementary,1,2,1983,1126,39723,0.04992070085340986,0.028346298114442513
Fairmont Elementary,0,0,7793,3673,165919,0.04696870159535677,0.02213730796352437
Fairmont Elementary,0,1,4446,2117,84197,0.052804731760038956,0.025143413660819267
Fairmont Elementary,0,2,2858,1426,55053,0.05191361052077089,0.025902312317221586
Ford Elementary,0,0,7138,3196,129021,0.0553243270475349,0.024771161283822014
Ford Elementary,0,1,4639,2158,73383,0.06321627624926754,0.029407355927122087
Ford Elementary,0,2,3368,1798,48262,0.06978575276615143,0.03725498321660934
Franklin Elementary,1,0,8315,2934,255058,0.03260042813791373,0.01150326592382909
Franklin Elementary,1,1,5571,2547,128890,0.04322290325083404,0.01976103654278842
Franklin Elementary,1,2,3787,1661,83054,0.04559684060972379,0.019999036771257254
Fred T. Korematsu Discovery Academy,1,0,6304,5620,128798,0.048944859392226585,0.04363421792263855
