Input,Grouping,Moran I Statistic,Expectation,Variance,P-Value
input_1_moran_ill,2011-12,-0.05360332849419781,-0.012048192771084338,0.0045569247599389455,0.7309161227857446
input_1_moran_ill,2012-13,-0.02597755529242252,-0.012048192771084338,0.004634342596972438,0.5810634782287045
input_1_moran_ill,2013-14,0.09093865301240829,-0.012048192771084338,0.0045547343608475805,0.06350681508171073
input_1_moran_ill,2014-15,0.1538606390109101,-0.012048192771084338,0.004498797260461768,0.006688840094595279
input_1_moran_ill,2015-16,0.020078508334198893,-0.012048192771084338,0.004534168821925839,0.31664237801915973
input_1_moran_ill,2016-17,0.07389037171755676,-0.012048192771084338,0.004548356268305219,0.10128418485108567
input_1_moran_ill,2017-18,0.069479691158865,-0.012048192771084338,0.00461042150348782,0.11493307635806226
input_2_moran_ill,2011-12,-0.04784336523891089,-0.012048192771084338,0.00467143908318472,0.6997633297252555
input_2_moran_ill,2012-13,0.054490862081376296,-0.012048192771084338,0.004613800959672133,0.16364268034717433
input_2_moran_ill,2013-14,0.07902906698278275,-0.012048192771084338,0.004704939184976038,0.09212194997466247
input_2_moran_ill,2014-15,0.09183412089255381,-0.012048192771084338,0.004628266750741496,0.06338339715446142
input_2_moran_ill,2015-16,0.01716103923575187,-0.012048192771084338,0.004654094574555979,0.33426859400384545
input_2_moran_ill,2016-17,-0.0010910836652947033,-0.012048192771084338,0.004709697304762397,0.43657396894688916
input_2_moran_ill,2017-18,0.33206972135745233,-0.012048192771084338,0.004702429493592052,2.608180236140676e-7
input_3_moran_ill,2014-15,-0.06049306170557873,-0.012048192771084338,0.0044846938110745735,0.7652843887196193
input_3_moran_ill,2015-16,-0.09002021440945171,-0.012048192771084338,0.0045707594731643295,0.8756076281071962
input_3_moran_ill,2016-17,-0.05409117739272089,-0.012048192771084338,0.004621095408188762,0.7318683579905078
input_3_moran_ill,2017-18,-0.053422887175956876,-0.012048192771084338,0.004246246116698328,0.7372660020743985
input_4_moran_ill,2014-15,0.046690885966715424,-0.012048192771084338,0.004572269560375433,0.19251032861062334
input_4_moran_ill,2015-16,-0.07237921363269506,-0.012048192771084338,0.004636765013826567,0.8121909114063677
input_4_moran_ill,2016-17,0.0019005664993518166,-0.012048192771084338,0.004706164869158541,0.4194384537343756
input_4_moran_ill,2017-18,0.2970645193469096,-0.012048192771084338,0.004624874308712923,2.742261007983227e-6
input_5_moran_ill,2014-15,0.08339476461031878,-0.02631578947368421,0.01445749623797837,0.18076992553599733
input_5_moran_ill,2015-16,-0.13464842951063555,-0.025,0.016705514584445757,0.8018770586804328
input_5_moran_ill,2016-17,0.07829541618560029,-0.025,0.01578343861224554,0.20548005021970198
input_5_moran_ill,2017-18,0.1810142086766874,-0.024390243902439025,0.01942327026946238,0.07026309735460572
input_6_moran_ill,Pre-Program,-0.015800680813191678,-0.012048192771084338,0.004535606986571729,0.522217081302499
input_6_moran_ill,Intervention Period,0.13470388484283233,-0.012048192771084338,0.004575862582825138,0.015024623190930179
input_7_moran_ill,Pre-Program,0.030314391913778407,-0.012048192771084338,0.004662073171694368,0.267487307796781
input_7_moran_ill,Intervention Period,0.19619669638519324,-0.012048192771084338,0.004671043599526981,0.0011558251335691148
input_8_moran_ill,Pre-Program,-0.015800680813191678,-0.012048192771084338,0.004535606986571729,0.522217081302499
input_8_moran_ill,Ineffective Vaccine,0.12398038112384306,-0.012048192771084338,0.00448349960814386,0.02110102390041526
input_8_moran_ill,Effective Vaccine,0.15565535144579096,-0.012048192771084338,0.004658609191270968,0.007004147599424073
input_9_moran_ill,Pre-Program,0.030314391913778407,-0.012048192771084338,0.004662073171694368,0.267487307796781
input_9_moran_ill,Ineffective Vaccine,0.11065921474049317,-0.012048192771084338,0.004657861168088097,0.03609249837714923
input_9_moran_ill,Effective Vaccine,0.23790542042521443,-0.012048192771084338,0.004698359479044155,1.328744864826579e-4
